,ID,incidence,product_cat,product_cat1,product_cat2,brand_1,brand_2,brand_3,quant_1,quant_2,quant_3,total_quantity,item_price_1,item_price_2,item_price_3,total price,creation_hour,creation_week,creation_day,dest_long,dest_lat,zip_code,population_denisty,median_household_income,sex,distance,DOB_year,age,Settlement_size,Labels,Segment K-means PCA,creation_time
0,P11197342,1,Edibles,Edibles,No info,Chroma,Chroma,,2,2,0,4,180.0,180.0,0.0,360.00,8,4,7,-71.1279495,42.3851985,2140.0,15262.0,71908.0,0.0,1.8314,1958.0,64.0,0.0,Well-Off,1.0,2021-01-31
1,p11082519,1,Pre-rolls,Flower,Pre-rolls,Curaleaf,253,AMP,1,1,1,3,15.0,55.0,15.0,175.00,15,4,7,-71.1615849,42.3675343,2472.0,7942.0,87775.0,1.0,4.4659,1964.0,58.0,1.0,Standard,2.0,2021-01-31
2,P11122217,1,Vapes,Flower,No info,Entourage,Sira Naturals Top-Shelf,,3,1,0,4,195.0,50.0,0.0,245.00,10,4,7,-71.1012765,42.3442484,2215.0,34190.0,35659.0,1.0,0.022231,1986.0,36.0,1.0,Well-Off,1.0,2021-01-31
3,P11157323,1,Flower,Flower,No info,253,The Heirloom Collective,,2,1,0,3,110.0,55.0,0.0,165.00,17,4,7,-71.1450605,42.3438211,2135.0,16236.0,48687.0,0.0,4.8195,2001.0,21.0,2.0,Well-Off,1.0,2021-01-31
4,P11196878,1,Flower,Flower,Flower,Sira Naturals Limited Release,Sira Naturals Limited Release,Sira Naturals Limited Release,2,2,2,6,120.0,120.0,120.0,498.97,8,5,1,-71.1460113,42.342465,2135.0,16236.0,48687.0,1.0,0.63283,1991.0,31.0,2.0,Well-Off,1.0,2021-02-01
5,P11098409,1,Flower,Flower,Flower,Sira Naturals Limited Release,Sira Naturals Limited Release,Sira Naturals Limited Release,2,2,2,6,120.0,120.0,120.0,288.00,8,4,7,-71.3462055,42.286262,1760.0,2214.0,95328.0,1.0,23.682,1963.0,59.0,1.0,Working Professional,0.0,2021-01-31
6,C11026153,1,Flower,Concentrate,Concentrate,Sira Naturals Limited Release,Cresco ,Origyn,1,1,1,3,60.0,55.0,70.0,255.00,8,4,7,-71.205692,42.334691,2459.0,3815.0,133801.0,0.0,5.8121,1985.0,37.0,0.0,Standard,2.0,2021-01-31
7,P11147682,1,Beverages,Flower,Flower,Cresco ,Nantucket Nuggets,Nantucket Nuggets,1,1,1,3,55.0,70.0,70.0,195.00,13,4,7,-71.2220813,42.1734823,2062.0,2761.0,75957.0,1.0,19.304,1969.0,53.0,1.0,Working Professional,0.0,2021-01-31
8,P11020887,1,Flower,No info,No info,Sira Naturals Reserve,,,4,0,0,4,220.0,0.0,0.0,220.00,13,4,7,-71.2346597,42.3715864,2453.0,8279.0,67382.0,0.0,6.5608,1979.0,43.0,1.0,Standard,2.0,2021-01-31
9,P11050044,1,Flower,Flower,Pre-rolls,,Sira Naturals Limited Release,Sira Naturals,1,1,1,3,60.0,60.0,25.0,170.00,8,4,7,-71.239556,42.369061,2453.0,8279.0,67382.0,0.0,0.74634,1970.0,52.0,1.0,Standard,2.0,2021-01-31
10,P11056966,1,Flower,Flower,Pre-rolls,Sira Naturals Limited Release,Nantucket Nuggets,The Heirloom Collective,1,1,1,3,70.0,70.0,13.0,153.00,8,4,7,-71.218948,42.180521,2062.0,2761.0,75957.0,0.0,7.2789,1963.0,59.0,1.0,Working Professional,0.0,2021-01-31
11,P11169047,1,Flower,Vapes,Edibles,Nantucket Nuggets,Entourage,Wicked Sour,1,1,1,3,70.0,100.0,35.0,435.00,17,4,7,-71.1541583,42.2300017,2026.0,2412.0,84704.0,1.0,9.3153,1977.0,45.0,1.0,Working Professional,0.0,2021-01-31
12,p11076726,1,Vapes,Vapes,Concentrate,Nantucket Nuggets,Rythm,Origyn,1,1,1,3,70.0,100.0,60.0,424.00,10,4,7,-71.408275,42.3971715,1776.0,729.0,170924.0,1.0,17.397,1981.0,41.0,0.0,Standard,2.0,2021-01-31
13,p11181405,1,Edibles,Edibles,Edibles,Cresco Labs ,Wicked Sour,Berkshire Roots,1,1,1,3,140.0,60.0,60.0,450.00,17,4,7,-71.4562112,42.4644108,1720.0,1084.0,109578.0,1.0,10.179,1971.0,51.0,1.0,Standard,2.0,2021-01-31
14,PP11096406,1,Flower,Pre-rolls,Edibles,Chroma,Sira Naturals,Wicked Sour,1,2,2,5,60.0,50.0,120.0,230.00,8,4,7,-71.162651,42.279917,2132.0,5670.0,83360.0,0.0,6.368,1966.0,56.0,1.0,Working Professional,0.0,2021-01-31
15,P11104993,1,Edibles,Pre-rolls,Pre-rolls,Sira Naturals Limited Release,Resinate,Resinate,2,2,2,6,60.0,20.0,18.0,203.00,8,4,7,-71.1713796,42.4200224,2476.0,7897.0,95305.0,0.0,27.041,1987.0,35.0,0.0,Standard,2.0,2021-01-31
16,C11047405,1,Flower,Flower,Concentrate,Betty's Eddies,Nantucket Nuggets,253,1,1,1,3,70.0,70.0,50.0,162.40,8,5,1,-71.1565167,42.2970149,2467.0,4616.0,115493.0,1.0,3.0406,1988.0,34.0,1.0,Standard,2.0,2021-02-01
17,P11079005,1,Vapes,Vapes,Vapes,Nantucket Nuggets,Entourage,Entourage,2,2,1,5,130.0,130.0,65.0,385.00,17,4,7,-71.1067176,42.3138562,2130.0,10618.0,75730.0,0.0,5.7371,1983.0,39.0,1.0,Well-Off,1.0,2021-01-31
18,P11070975,1,Flower,Flower,Flower,Entourage,Cresco Labs ,Nantucket Nuggets,1,1,1,3,70.0,55.0,70.0,230.00,16,4,7,-71.167005,42.424113,2474.0,8620.0,87225.0,1.0,2.2247,1956.0,66.0,1.0,Standard,2.0,2021-01-31
19,P11070019,1,Pre-rolls,Pre-rolls,Pre-rolls,Nantucket Nuggets,Nature's Heritage,Resinate,1,1,2,4,15.0,15.0,30.0,224.40,10,4,7,-71.1371819,42.4230835,2155.0,7072.0,73567.0,1.0,3.7503,1963.0,59.0,2.0,Well-Off,1.0,2021-01-31
20,P11082899,1,Flower,Flower,Pre-rolls,Nature's Heritage,Nantucket Nuggets,Sira Naturals Prerolls,1,1,1,3,70.0,70.0,15.0,168.00,16,4,7,-71.084071,42.300087,2121.0,14884.0,28238.0,1.0,3.8263,1953.0,69.0,1.0,Well-Off,1.0,2021-01-31
21,P11195120,1,Flower,Flower,Flower,Nantucket Nuggets,Sira Naturals Limited Release,Sira Naturals Limited Release,4,1,1,6,220.0,60.0,60.0,450.50,14,4,7,-71.0851383,42.2764184,2126.0,12277.0,45238.0,0.0,3.5187,1959.0,63.0,1.0,Well-Off,1.0,2021-01-31
22,P11205032,1,Flower,Flower,Vapes,Sira Naturals Reserve,Nantucket Nuggets,Entourage,1,1,1,3,70.0,70.0,40.0,380.00,13,4,7,-71.1513268,42.4670059,1801.0,3075.0,75138.0,1.0,6.1842,1947.0,75.0,1.0,Well-Off,1.0,2021-01-31
23,p11190573,1,Flower,Flower,No info,Nantucket Nuggets,Origyn,,2,1,0,3,110.0,60.0,0.0,170.00,8,5,1,-71.0588999,42.2854462,2124.0,15913.0,48841.0,1.0,3.1499,1990.0,32.0,2.0,Well-Off,1.0,2021-02-01
24,p11188118,1,Flower,Flower,Concentrate,Sira Naturals Reserve,Curaleaf,Cresco ,1,1,1,3,55.0,55.0,55.0,165.00,18,4,7,-71.1668385,42.5027289,1801.0,3075.0,75138.0,0.0,6.1359,1981.0,41.0,1.0,Well-Off,1.0,2021-01-31
25,p11067446,1,Vapes,Merchandise,Pre-rolls,The Heirloom Collective,Grav Labs,Curaleaf,1,1,1,3,65.0,14.0,15.0,219.87,9,4,7,-71.077517,42.4360126,2148.0,11797.0,53798.0,0.0,15.31,1990.0,32.0,2.0,Well-Off,1.0,2021-01-31
26,P11207925,0,Edibles,Edibles,Edibles,Entourage,Chroma,Kalm Fusion,2,1,2,5,120.0,140.0,80.0,340.00,18,4,7,-70.995057,42.0947465,2302.0,3683.0,61060.0,1.0,31.462,1984.0,38.0,1.0,Working Professional,0.0,2021-01-31
27,P11181086,1,Flower,Vapes,Flower,Betty's Eddies,Entourage,Sira Naturals Top-Shelf,1,1,1,3,70.0,55.0,50.0,175.00,18,4,7,-71.108617,42.410926,2155.0,7072.0,73567.0,0.0,4.1871,1986.0,36.0,2.0,Well-Off,1.0,2021-01-31
28,P11160507,1,Edibles,Edibles,Flower,Nantucket Nuggets,Double Baked,Sira Naturals Top-Shelf,1,1,1,3,30.0,30.0,50.0,225.00,14,4,7,-71.0952047,42.4329147,2155.0,7072.0,73567.0,0.0,2.6747,1987.0,35.0,2.0,Well-Off,1.0,2021-01-31
29,P1119494978,0,Flower,Flower,Flower,Double Baked,Nantucket Nuggets,Nantucket Nuggets,2,1,1,4,110.0,70.0,70.0,420.00,11,4,6,-70.908326,42.097115,2370.0,1696.0,66329.0,0.0,9.2727,1984.0,38.0,0.0,Working Professional,0.0,2021-01-30
